,Compound Name/PubChem ID,Binding_Affintiy
304,10355,-6.648
305,13751990,-6.145
306,14237657,-6.145
307,9876038,-6.145
308,5319882,-6.644
309,2230,-6.563
310,12308619,-7.232
311,5280666,-6.94
312,14562695,-6.618
313,57403796,-6.511
314,69188,-6.448
315,97981,-6.625
316,12305178,-7.455
317,34167,-6.606
318,3765,-6.408
319,12575,-6.391
320,5281644,-7.324
321,114829,-6.428
322,7151,-6.581
323,89594,-6.432
324,10639,-6.688
325,9872976,-6.137
326,11250133,-6.064
327,122738,-6.064
328,72,-6.489
329,445154,-6.521
330,9890209,-7.339
331,92842,-7.278
332,6115,-6.629
333,13804,-7.523
334,75502,-7.394
335,9369,-6.468
336,938,-6.691
337,971,-6.449
338,493570,-7.041
339,107721,-7.014
340,1130,-6.618
341,5570,-6.509
342,713457,-7.393
343,441005,-6.563
344,6427071,-6.523
345,14104,-6.416
346,129819579,-6.57
347,6429302,-6.545
348,62566,-6.532
349,11586487,-6.528
350,5281515,-6.528
351,5281520,-6.6
352,28619,-6.491
353,188977,-6.438
354,11166301,-6.914
355,14135395,-7.68
356,6476139,-6.605
357,5273569,-6.542
358,5318597,-5.86
359,5280804,-5.841
360,162350,-6.341
361,5318759,-5.854
362,5318767,-7.195
363,5281647,-5.86
364,5274585,-5.801
365,439514,-6.556
366,442664,-6.979
367,5280441,-6.341
368,20858,-6.46
369,110806,-6.312
370,428,-6.482
371,22129,-6.466
372,538757,-6.252
373,82674,-6.818
374,69988,-6.542
375,69505,-6.543
376,16251,-6.511
377,8973,-6.708
378,87874,-6.478
379,9679,-6.492
380,7361,-6.612
381,753,-6.646
382,135398634,-6.561
383,68313,-6.456
384,12304,-6.457
385,5054,-6.616
386,7991,-6.547
387,142381,-6.463
388,93135,-6.495
389,73145,-7.455
390,6325460,-6.995
391,5282149,-5.789
392,5282102,-5.789
393,5320946,-6.94
394,73170,-7.455
395,9982084,-7.417
396,92156,-7.278
397,441849,-7.242
398,33005,-6.718
399,30101,-7.444
400,14134976,-7.818
401,16142,-7.242
402,46173724,-5.565
403,120728,-7.173
404,100998320,-7.278
405,15427611,-7.323
406,4696,-6.452
407,101618772,-7.444
408,13889352,-7.278
409,441874,-7.119
410,11261800,-7.479
411,92760,-7.504
412,44387915,-7.382
413,4330530,-6.527
414,12849769,-6.691
415,9543670,-7.385
416,14262276,-7.342
417,13475120,-7.237
418,5364600,-6.677
419,5364553,-6.7
420,74138,-6.743
421,8183,-6.414
422,12395,-6.811
423,26049,-6.464
424,5283383,-6.781
425,12405,-6.765
426,8222,-6.701
427,11006,-6.804
428,5284421,-6.741
429,643801,-6.742
430,6444104,-7.688
431,11635,-6.709
432,16607,-6.5
433,12592,-7.07
434,119033,-6.473
435,91434,-6.473
436,6654,-6.464
437,54670067,-6.728
438,13967857,-6.563
439,10104370,-6.617
